Error: too many values to unpack (expected 3)
Error: too many values to unpack (expected 3)
Can not load response cookies: Illegal key 'session820/qualitor820'
Can not load response cookies: Illegal key 'session820/qualitor820'
Can not load response cookies: Illegal key 'session820/qualitor820'
Error: too many values to unpack (expected 3)
Name: 广东珠江, URL: http://183.11.239.36:808/hls/83/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 489 ms
Name: 广东珠江, URL: http://gmxw.7766.org:808/hls/83/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 1409 ms
Name: 广东珠江, URL: http://113.15.187.190:8181/tsfile/live/1000_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 514 ms
Name: 广东珠江, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3957 ms
Name: 广东珠江, URL: http://116.22.255.89:9999/udp/239.77.0.1:5146$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 147 ms
Name: 广东珠江, URL: http://php.jdshipin.com:8880/chudian.php?id=gdzj$订阅源, Date: None, Resolution: None, Response Time: 125 ms
Name: 广东珠江, URL: http://r.jdshipin.com/sE5vO$订阅源, Date: None, Resolution: None, Response Time: 502 ms
Name: 广东珠江, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/index.m3u8$订阅源, Date: None, Resolution: None, Response Time: 3957 ms
Name: 广东珠江, URL: http://113.83.248.110:4200/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: None, Response Time: 3957 ms
Name: 广东体育, URL: http://113.15.187.190:8181/tsfile/live/1001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 514 ms
Name: 广东体育, URL: http://116.22.255.89:9999/udp/239.77.0.112:5146$订阅源|1920x1080, Date: None, Resolution: 1920x1080, Response Time: 147 ms
Name: 广东体育, URL: http://120.238.84.44:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Resolution: None, Response Time: 517 ms
Name: 广东体育, URL: http://218.13.170.98:9901/tsfile/live/0019_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 518 ms
Name: 广东体育, URL: http://php.jdshipin.com:8880/chudian.php?id=gdty$订阅源, Date: None, Resolution: None, Response Time: 125 ms
Name: 广东体育, URL: http://219.159.194.108:8181/tsfile/live/1001_1.m3u8$订阅源, Date: None, Resolution: None, Response Time: 527 ms
Name: CCTV-1, URL: http://118.78.220.187:8686/rtp/226.0.2.153:9136$山西联通组播源|1920x1080, Date: 2024-10-29, Resolution: 1920x1080, Response Time: 240 ms
Name: CCTV-1, URL: http://183.185.175.133:8085/rtp/226.0.2.153:9136$山西联通组播源|1920x1080, Date: 2024-10-06, Resolution: 1920x1080, Response Time: 68 ms
Name: CCTV-1, URL: http://171.118.136.143:8083/rtp/226.0.2.153:9136$山西联通组播源|1920x1080, Date: 2024-10-27, Resolution: 1920x1080, Response Time: 225 ms
Name: CCTV-1, URL: http://171.117.183.38:8084/rtp/226.0.2.153:9136$山西联通组播源|1920x1080, Date: 2024-10-11, Resolution: 1920x1080, Response Time: 164 ms
Name: CCTV-1, URL: http://60.223.72.17:8005/rtp/226.0.2.153:9136$山西联通组播源|1920x1080, Date: 2024-09-20, Resolution: 1920x1080, Response Time: 218 ms
Name: CCTV-1, URL: http://171.117.143.120:8082/rtp/226.0.2.153:9136$山西联通组播源|1920x1080, Date: 2024-10-26, Resolution: 1920x1080, Response Time: 226 ms
Name: CCTV-1, URL: http://118.78.220.187:8686/rtp/226.0.2.18:8056$山西联通组播源|1920x1080, Date: 2024-10-29, Resolution: 1920x1080, Response Time: 240 ms
Name: CCTV-1, URL: http://183.185.175.133:8085/rtp/226.0.2.18:8056$山西联通组播源|1920x1080, Date: 2024-10-06, Resolution: 1920x1080, Response Time: 68 ms
Name: CCTV-1, URL: http://171.118.136.143:8083/rtp/226.0.2.18:8056$山西联通组播源|1920x1080, Date: 2024-10-27, Resolution: 1920x1080, Response Time: 225 ms
Name: CCTV-1, URL: http://171.117.183.38:8084/rtp/226.0.2.18:8056$山西联通组播源|1920x1080, Date: 2024-10-11, Resolution: 1920x1080, Response Time: 164 ms
Name: CCTV-1, URL: http://60.223.72.17:8005/rtp/226.0.2.18:8056$山西联通组播源|1920x1080, Date: 2024-09-20, Resolution: 1920x1080, Response Time: 218 ms
Name: CCTV-1, URL: http://171.117.143.120:8082/rtp/226.0.2.18:8056$山西联通组播源|1920x1080, Date: 2024-10-26, Resolution: 1920x1080, Response Time: 226 ms
Name: CCTV-1, URL: http://120.55.49.231:3095/rtp/233.50.201.222:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3252 ms
Name: CCTV-1, URL: http://120.55.49.231:3095/rtp/233.50.201.99:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3252 ms
Name: CCTV-1, URL: http://115.58.217.95:4000/rtp/225.1.4.73:1102$河南联通组播源|1920x1080, Date: 2024-10-24, Resolution: 1920x1080, Response Time: 187 ms
Name: CCTV-1, URL: http://115.58.217.95:4000/rtp/225.1.4.1:1030$河南联通组播源|1920x1080, Date: 2024-10-24, Resolution: 1920x1080, Response Time: 187 ms
Name: CCTV-1, URL: http://122.9.151.210:887/rtp/238.255.2.91:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3219 ms
Name: CCTV-1, URL: http://60.168.224.91:2000/rtp/238.1.78.166:7200$安徽电信组播源|1920x1080, Date: 2024-10-28, Resolution: 1920x1080, Response Time: 224 ms
